"TOA5","Cal_Pluv","CR1000","63522","CR1000.Std.32.03","CPU:EnsaioIR_4pluv.CR1","59817","Basculada"
"TIMESTAMP","RECORD","c","vazao","deltaT","massaT","IRm","IRr","IRrmed"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-14 10:26:52.72",203,67,1.800293,6.579995,7480.1,224.3163,405.2349,272.7395
"2023-06-14 10:26:55.48",204,68,0.4003906,2.759998,7482.7,534.783,90.12548,270.1126
"2023-06-14 10:27:01.64",205,69,0.7998047,6.159995,7490.9,239.6106,180.0311,273.8642
"2023-06-14 10:27:09.6",206,70,0.7001953,7.959993,7502,185.4273,157.6097,274.9889
"2023-06-14 10:27:12.22",207,71,1.5,2.619998,7505.9,563.3592,337.6408,274.6134
"2023-06-14 10:27:15.18",208,72,1.099609,2.959998,7509.3,498.649,247.5153,275.74
"2023-06-14 10:27:21.14",209,73,0.699707,5.959995,7516.3,247.6512,157.4998,273.8642
"2023-06-14 10:27:27.88",210,74,1,6.739995,7523.8,218.9913,225.0939,275.3644
"2023-06-14 10:27:30.68",211,75,2.100098,2.799998,7528.1,527.1432,472.7191,276.491
"2023-06-14 10:27:38.82",212,76,1.299805,8.099996,7537,182.2223,292.5781,277.9913
"2023-06-14 10:27:41.54",213,77,1.299805,2.719998,7540.5,542.6475,292.5781,279.116
"2023-06-14 10:27:49.64",214,78,0.800293,8.099996,7550.6,182.2223,180.1411,279.4915
"2023-06-14 10:27:52.24",215,79,1.799805,2.599998,7554.8,567.6927,405.125,280.2408
"2023-06-14 10:28:00.52",216,80,1.600098,8.28,7564.2,178.2609,360.1722,277.9913
"2023-06-14 10:28:03.04",217,81,1,2.519998,7567.9,585.7147,225.0939,280.6163
"2023-06-14 10:28:06.06",218,82,1.700195,3.019998,7572,488.7421,382.7035,274.2397
"2023-06-14 10:28:13.86",219,83,1.199707,7.799994,7579.8,189.2309,270.0467,274.6134
"2023-06-14 10:28:16.64",220,84,0.8999023,2.759998,7582.9,534.783,202.5625,270.8618
"2023-06-14 10:28:22.44",221,85,0.699707,5.799995,7589.4,254.483,157.4998,267.4858
"2023-06-14 10:28:30.72",222,86,0.7998047,8.28,7599.9,178.2609,180.0311,269.3616
"2023-06-14 10:28:33.22",223,87,1.899902,2.499998,7604.3,590.4004,427.6564,274.9889
"2023-06-14 10:28:36.1",224,88,0.8999023,2.879998,7607.6,512.5004,202.5625,272.7395
"2023-06-14 10:28:41.8",225,89,2,5.699996,7614.1,258.9476,450.1877,276.1155
"2023-06-14 10:28:48.68",226,90,0.800293,6.879994,7621.6,214.5351,180.1411,269.3634
